chembl_id	smiles	mw	qed	logp	tpsa	hbd	hba	max_phase	mw_calc	logp_calc	qed_calc	bbb
CHEMBL535650	Cl.OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1	414.78	0.76		45.15	2	3	4.0	414.78	4.87	0.689	0
CHEMBL1691	CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1.Cl	343.90	0.62		50.72	2	4	4.0	343.9	2.815	0.607	1
CHEMBL544665	CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1.Cl	343.94	0.52		66.48	3	3	4.0	343.94	3.626	0.508	1
CHEMBL1692	CN(C)CCCN1c2ccccc2CCc2ccccc21.Cl	316.88	0.84		6.48	0	2	4.0	316.88	4.297	0.83	0
CHEMBL1693	CCN(CC)C(C)C(=O)c1ccccc1.Cl	241.76	0.69		20.31	0	2	4.0	241.76	3.021	0.739	1
CHEMBL1694	CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O.Cl	460.96	0.60		95.94	2	5	4.0	460.96	2.995	0.558	0
CHEMBL1696	CNCCCN1c2ccccc2CCc2ccccc21.Cl	302.85	0.85		15.27	1	2	4.0	302.85	3.955	0.86	1
CHEMBL545437	CCOC(=O)COc1ccc2c(c1)C[C@@H](NC[C@H](O)c1cccc(Cl)c1)CC2.Cl	440.37	0.66		67.79	2	5	3.0	440.37	3.884	0.61	1
CHEMBL1697	COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1.Cl	450.99	0.68		59.08	0	6	4.0	450.99	3.79	0.624	1
CHEMBL1698	CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1.Cl	276.21	0.82		29.10	1	2	4.0	276.21	3.721	0.852	1
CHEMBL1699	CC12CC3CC(C)(C1)CC(N)(C3)C2.Cl	215.77	0.61		26.02	1	1	4.0	215.77	3.116	0.66	1
CHEMBL1700	CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1.Cl	308.83	0.72		78.43	3	4	4.0	308.83	1.511	0.744	1
CHEMBL1701	CCOC(=O)C1(c2ccccc2)CCN(C)CC1.Cl	283.80	0.77		29.54	0	3	4.0	283.8	2.635	0.799	1
CHEMBL1702	CNCC[C@@H](Oc1ccccc1C)c1ccccc1.Cl	291.82	0.85		21.26	1	2	4.0	291.82	4.146	0.863	0
CHEMBL554230	COCCC1CC2CN3CCc4c([nH]c5ccccc45)C(C(=O)OC)(C2)C13.Cl	404.94	0.84		54.56	1	4	1.0	404.94	3.304	0.794	1
CHEMBL1705	Cl.Clc1cccc(Cl)c1NC1=NCCN1	266.56	0.78		36.42	2	3	4.0	266.56	2.786	0.82	1
CHEMBL1706	Cl.c1ccc2c(CC3=NCCN3)cccc2c1	246.74	0.81		24.39	1	2	4.0	246.74	2.806	0.866	1
CHEMBL559180	CC(COc1ccccc1)NC(C)C(O)c1ccc(O)cc1.Cl	337.85	0.74		61.72	3	4	1.0	337.85	3.293	0.725	1
CHEMBL535607	C[C@@H]1CN(Cc2ccc(F)cc2)CCN1C(=O)COc1ccc(Cl)cc1NC(N)=O.Cl	471.36	0.73		87.90	2	4	2.0	471.36	3.503	0.675	1
CHEMBL559362	Br.O=C(CC1NCCCC1O)Cn1cnc2cc(Br)c(Cl)cc2c1=O	495.60	0.80		84.22	2	6	2.0	495.6	2.462	0.681	1
CHEMBL535396	CC(N)C12CC3CC(CC(C3)C1)C2.Cl	215.77	0.66		26.02	1	1	4.0	215.77	2.972	0.715	1
CHEMBL537222	Cl.NCCC[C@](N)(C(=O)O)C(F)F	218.63	0.55		89.34	3	3	2.0	218.63	0.194	0.615	0
CHEMBL537669	COC(=O)[C@@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@@H]1O.Cl	390.91	0.77		65.56	2	4	3.0	390.91	3.069	0.734	1
CHEMBL1711	CC(C)NCC(O)c1ccc(O)c(O)c1.Cl	247.72	0.56		72.72	4	4	4.0	247.72	1.551	0.61	0
CHEMBL556578	CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5.Cl	321.80	0.70		52.93	2	4	3.0	321.8	1.62	0.713	1
CHEMBL1714	CNC1(c2ccccc2Cl)CCCCC1=O.Cl	274.19	0.86		29.10	1	2	4.0	274.19	3.32	0.896	1
CHEMBL1715	CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1.Cl	392.91	0.83		68.29	1	5	4.0	392.91	3.581	0.779	1
CHEMBL1717	Cl.Clc1ccccc1CN1CCc2sccc2C1	300.25	0.79		3.24	0	2	4.0	300.25	4.382	0.795	0
CHEMBL1718	C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5.Cl	363.84	0.80		70.00	2	5	4.0	363.84	1.723	0.783	1
CHEMBL1719	CN(C)CC/C=C1/c2ccccc2COc2ccc(CC(=O)O)cc21.Cl	373.88	0.91		49.77	1	3	4.0	373.88	4.011	0.86	0
CHEMBL1720	Cl.O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1CN2CCC1CC2	332.88	0.80		23.55	0	2	4.0	332.88	3.078	0.789	1
