time_ns,rmsd_all_A,rmsd_dfg_region_A,rmsd_nlobe_A
31.600,12.373,7.306,12.303
31.700,12.064,6.993,11.777
31.800,12.094,7.057,11.493
31.900,12.162,7.369,11.558
32.000,12.246,7.132,11.777
32.100,11.870,6.868,11.196
32.200,11.958,6.984,11.302
32.300,12.049,6.669,10.992
32.400,12.155,6.792,11.255
32.500,12.411,7.096,11.718
32.600,12.125,6.872,11.444
32.700,11.796,6.516,10.996
32.800,11.811,6.696,10.912
32.900,11.596,6.399,10.819
33.000,11.899,6.850,11.058
33.100,11.859,6.626,10.959
33.200,11.897,7.036,11.093
33.300,11.660,6.644,10.902
33.400,11.716,6.766,11.056
33.500,11.601,6.739,11.168
33.600,11.017,6.496,10.494
33.700,11.124,6.668,10.495
33.800,11.254,6.700,10.687
33.900,11.298,6.745,10.818
34.000,10.829,6.175,10.376
34.100,10.352,5.923,9.586
34.200,10.421,6.029,9.928
34.300,10.413,5.869,10.093
34.400,10.225,5.701,9.611
34.500,10.756,6.099,10.278
34.600,10.619,6.002,10.087
34.700,10.718,6.328,10.218
34.800,10.610,6.107,10.046
34.900,10.734,6.256,10.093
35.000,10.838,6.722,10.431
35.100,11.050,6.458,10.638
35.200,11.096,6.482,10.789
35.300,10.868,6.525,10.539
35.400,11.062,6.575,10.871
35.500,11.202,6.817,10.886
35.600,10.980,6.509,10.892
35.700,10.603,6.351,10.643
35.800,10.608,6.387,10.684
35.900,10.922,6.767,11.010
36.000,10.958,6.479,10.822
36.100,10.718,6.477,10.686
36.200,10.537,6.579,10.465
36.300,10.668,6.395,10.689
36.400,10.488,6.382,10.386
36.500,10.064,6.000,9.855
36.600,10.047,5.750,9.825
36.700,9.987,5.598,9.799
36.800,10.402,5.971,10.356
36.900,10.455,6.185,10.211
37.000,11.036,6.345,10.773
37.100,10.583,6.176,10.330
37.200,10.887,6.262,10.461
37.300,10.717,6.162,10.085
37.400,10.779,5.919,10.273
37.500,10.696,5.984,10.171
37.600,10.360,6.061,10.058
37.700,10.656,6.186,10.500
37.800,10.081,5.791,10.025
37.900,10.429,6.179,10.386
38.000,10.565,6.274,10.707
38.100,10.773,6.267,10.865
38.200,10.684,6.388,10.902
38.300,10.424,6.084,10.734
38.400,10.069,5.987,10.057
38.500,9.927,5.888,9.933
38.600,10.323,6.236,10.491
38.700,10.674,6.567,10.795
38.800,11.201,6.878,11.269
38.900,11.473,7.054,11.767
39.000,11.234,6.762,11.235
39.100,11.402,7.285,11.786
39.200,10.933,6.595,11.162
39.300,10.785,6.645,11.138
39.400,10.524,6.722,11.018
39.500,10.389,6.641,10.740
39.600,11.035,6.870,11.335
39.700,11.160,7.050,11.534
39.800,11.396,7.151,11.911
39.900,11.333,7.036,11.761
40.000,11.046,6.589,11.387
40.100,11.224,6.440,11.570
40.200,11.608,6.737,11.944
40.300,11.592,6.971,12.098
40.400,11.429,6.977,11.941
40.500,11.248,6.879,11.711
40.600,11.042,6.494,11.324
40.700,11.114,6.550,11.289
40.800,11.370,6.983,11.630
40.900,11.061,6.358,11.275
41.000,10.957,6.462,10.970
41.100,10.948,6.422,11.206
41.200,10.579,6.060,10.731
41.300,10.582,6.023,10.807
41.400,10.521,5.860,10.750
41.500,10.746,6.209,10.858
41.600,10.537,5.966,10.744
41.700,10.581,6.078,10.762
41.800,10.588,6.104,10.841
41.900,10.354,6.004,10.360
42.000,10.255,5.706,10.240
42.100,10.517,6.221,10.596
42.200,10.343,6.093,10.249
42.300,10.046,5.421,9.699
42.400,9.996,5.315,9.526
42.500,10.385,5.450,9.948
42.600,10.392,5.641,9.972
42.700,10.471,5.685,10.102
42.800,10.596,5.817,10.169
42.900,10.544,5.819,10.109
43.000,10.357,5.728,9.838
43.100,10.741,5.880,10.274
43.200,10.890,5.813,10.282
43.300,10.677,5.966,10.119
43.400,10.788,5.826,10.323
43.500,10.870,5.661,10.470
43.600,10.768,5.539,10.112
43.700,10.854,5.740,10.161
43.800,10.563,5.670,9.821
43.900,10.780,5.815,10.020
44.000,10.603,5.864,10.081
44.100,10.467,5.680,9.826
44.200,10.439,5.574,9.902
44.300,10.282,5.291,9.607
44.400,10.194,5.320,9.602
44.500,10.231,5.393,9.923
44.600,10.031,5.266,9.478
44.700,10.053,5.334,9.340
44.800,10.171,5.395,9.514
44.900,10.128,5.423,9.267
45.000,10.326,5.906,9.652
45.100,10.104,5.377,9.427
45.200,10.006,5.417,8.988
45.300,10.195,5.223,9.343
45.400,9.764,5.108,8.874
45.500,9.959,5.241,9.054
45.600,9.821,5.386,8.686
45.700,9.855,5.394,8.833
45.800,9.853,5.294,8.758
45.900,9.932,5.328,8.723
46.000,9.938,5.350,9.039
46.100,10.203,5.524,9.323
46.200,10.364,5.656,9.464
46.300,10.104,5.488,8.967
46.400,9.683,5.092,8.532
46.500,9.756,5.229,8.732
46.600,9.571,5.272,8.515
46.700,9.889,5.631,8.877
46.800,9.836,5.588,8.892
46.900,9.729,5.576,8.506
47.000,10.065,5.840,8.977
47.100,9.757,5.781,8.624
47.200,9.772,5.653,8.785
47.300,9.859,5.853,8.983
47.400,10.263,6.345,9.509
47.500,10.238,6.094,9.309
47.600,10.169,6.234,9.319
47.700,10.067,5.997,9.195
47.800,9.550,5.644,8.511
47.900,9.564,5.472,8.376
48.000,9.841,5.746,8.831
48.100,10.027,5.810,9.034
48.200,10.151,5.986,9.237
48.300,10.218,6.168,9.395
48.400,10.255,5.906,9.424
48.500,10.017,5.413,8.950
