frame,time_ns,pocket_rg_A
819,81.900,16.943
820,82.000,16.998
821,82.100,16.976
822,82.200,17.118
823,82.300,16.957
824,82.400,16.922
825,82.500,17.120
826,82.600,17.018
827,82.700,17.009
828,82.800,17.125
829,82.900,17.144
830,83.000,16.861
831,83.100,17.010
832,83.200,16.945
833,83.300,16.843
834,83.400,17.002
835,83.500,16.936
836,83.600,17.009
837,83.700,16.932
838,83.800,16.897
839,83.900,16.915
840,84.000,16.841
841,84.100,16.959
842,84.200,17.216
843,84.300,17.082
844,84.400,17.113
845,84.500,17.065
846,84.600,16.857
847,84.700,16.880
848,84.800,16.840
849,84.900,16.889
850,85.000,17.142
851,85.100,16.931
852,85.200,17.045
853,85.300,17.167
854,85.400,16.909
855,85.500,16.953
856,85.600,17.106
857,85.700,17.026
858,85.800,17.228
859,85.900,17.047
860,86.000,17.113
861,86.100,16.972
862,86.200,16.998
863,86.300,17.017
864,86.400,17.044
865,86.500,16.937
866,86.600,16.941
867,86.700,17.117
868,86.800,17.078
869,86.900,16.987
870,87.000,16.650
871,87.100,16.893
872,87.200,17.213
873,87.300,16.934
874,87.400,17.066
875,87.500,16.896
876,87.600,17.121
877,87.700,16.985
878,87.800,17.059
879,87.900,16.759
880,88.000,16.985
881,88.100,16.713
882,88.200,16.639
883,88.300,16.813
884,88.400,16.852
885,88.500,16.838
886,88.600,16.830
887,88.700,16.852
888,88.800,16.935
889,88.900,16.977
890,89.000,16.710
891,89.100,17.045
892,89.200,17.009
893,89.300,17.065
894,89.400,17.006
895,89.500,17.147
896,89.600,17.094
897,89.700,16.968
898,89.800,17.050
899,89.900,16.825
900,90.000,16.888
901,90.100,16.868
902,90.200,16.780
903,90.300,16.792
904,90.400,16.736
905,90.500,16.830
906,90.600,16.737
907,90.700,16.870
908,90.800,16.916
909,90.900,17.055
910,91.000,16.714
911,91.100,16.906
912,91.200,16.688
913,91.300,16.620
914,91.400,16.965
915,91.500,16.756
916,91.600,16.792
917,91.700,16.792
918,91.800,16.790
919,91.900,16.911
920,92.000,16.887
921,92.100,16.761
922,92.200,16.986
923,92.300,16.867
924,92.400,16.825
925,92.500,16.907
926,92.600,16.918
927,92.700,16.829
928,92.800,16.773
929,92.900,16.741
930,93.000,16.812
931,93.100,16.847
932,93.200,16.689
933,93.300,16.750
934,93.400,16.911
935,93.500,16.760
936,93.600,16.764
937,93.700,16.847
938,93.800,16.863
939,93.900,16.818
940,94.000,16.789
941,94.100,16.748
942,94.200,16.881
943,94.300,16.817
944,94.400,16.827
945,94.500,16.946
946,94.600,16.715
947,94.700,16.730
948,94.800,16.721
949,94.900,16.934
950,95.000,16.896
951,95.100,16.849
952,95.200,16.879
953,95.300,16.754
954,95.400,16.797
955,95.500,16.893
956,95.600,16.738
957,95.700,16.726
958,95.800,16.712
959,95.900,16.817
960,96.000,16.676
961,96.100,16.738
962,96.200,16.780
963,96.300,16.822
964,96.400,16.732
965,96.500,16.683
966,96.600,16.739
967,96.700,16.913
968,96.800,16.939
969,96.900,16.901
970,97.000,16.756
971,97.100,16.839
972,97.200,16.810
973,97.300,16.699
974,97.400,16.618
975,97.500,16.616
976,97.600,16.818
977,97.700,16.781
978,97.800,16.793
979,97.900,16.794
980,98.000,16.670
981,98.100,16.901
982,98.200,16.767
983,98.300,16.836
984,98.400,16.853
985,98.500,16.528
986,98.600,16.890
987,98.700,16.752
988,98.800,16.629
989,98.900,16.686
990,99.000,16.617
991,99.100,16.690
992,99.200,16.724
993,99.300,16.606
994,99.400,16.835
995,99.500,16.608
996,99.600,16.796
997,99.700,16.785
998,99.800,16.888
999,99.900,16.777
