frame,time_ns,dfg_dihedral_deg
779,77.900,150.34
780,78.000,154.59
781,78.100,150.26
782,78.200,149.20
783,78.300,151.24
784,78.400,154.58
785,78.500,149.39
786,78.600,158.38
787,78.700,157.56
788,78.800,159.18
789,78.900,155.40
790,79.000,149.94
791,79.100,157.56
792,79.200,161.68
793,79.300,138.10
794,79.400,152.14
795,79.500,145.45
796,79.600,159.32
797,79.700,148.67
798,79.800,149.84
799,79.900,156.83
800,80.000,142.44
801,80.100,150.65
802,80.200,144.12
803,80.300,145.22
804,80.400,148.22
805,80.500,153.77
806,80.600,148.33
807,80.700,154.72
808,80.800,156.12
809,80.900,-179.53
810,81.000,154.11
811,81.100,157.75
812,81.200,162.70
813,81.300,161.04
814,81.400,149.32
815,81.500,155.57
816,81.600,150.40
817,81.700,161.36
818,81.800,153.76
819,81.900,150.29
820,82.000,160.64
821,82.100,153.25
822,82.200,153.56
823,82.300,147.64
824,82.400,146.60
825,82.500,143.39
826,82.600,149.68
827,82.700,152.71
828,82.800,152.95
829,82.900,151.62
830,83.000,160.52
831,83.100,165.67
832,83.200,144.58
833,83.300,144.94
834,83.400,163.51
835,83.500,167.81
836,83.600,145.01
837,83.700,145.60
838,83.800,152.70
839,83.900,149.45
840,84.000,152.15
841,84.100,151.47
842,84.200,139.65
843,84.300,145.65
844,84.400,155.94
845,84.500,154.60
846,84.600,146.83
847,84.700,144.05
848,84.800,159.88
849,84.900,147.12
850,85.000,148.17
851,85.100,154.40
852,85.200,148.09
853,85.300,150.74
854,85.400,145.84
855,85.500,151.92
856,85.600,144.53
857,85.700,150.44
858,85.800,160.48
859,85.900,146.24
860,86.000,148.27
861,86.100,143.65
862,86.200,148.36
863,86.300,148.64
864,86.400,158.65
865,86.500,152.91
866,86.600,141.70
867,86.700,154.54
868,86.800,156.32
869,86.900,145.87
870,87.000,146.89
871,87.100,147.69
872,87.200,152.27
873,87.300,153.78
874,87.400,151.59
875,87.500,149.54
876,87.600,152.13
877,87.700,157.97
878,87.800,163.19
879,87.900,148.69
880,88.000,133.29
881,88.100,160.11
882,88.200,150.25
883,88.300,148.42
884,88.400,156.06
885,88.500,146.93
886,88.600,168.11
887,88.700,144.83
888,88.800,154.02
889,88.900,150.39
890,89.000,167.30
891,89.100,151.79
892,89.200,157.34
893,89.300,154.46
894,89.400,157.02
895,89.500,151.82
896,89.600,156.81
897,89.700,151.72
898,89.800,154.84
899,89.900,160.83
900,90.000,161.17
901,90.100,145.67
902,90.200,163.24
903,90.300,160.37
904,90.400,157.12
905,90.500,157.18
906,90.600,155.77
907,90.700,158.81
908,90.800,158.73
909,90.900,154.72
910,91.000,152.04
911,91.100,148.10
912,91.200,158.58
913,91.300,155.16
914,91.400,153.53
915,91.500,152.97
916,91.600,149.79
917,91.700,150.90
918,91.800,147.32
919,91.900,153.71
920,92.000,147.13
921,92.100,153.73
922,92.200,147.06
923,92.300,156.96
924,92.400,160.69
925,92.500,157.20
926,92.600,159.26
927,92.700,157.35
928,92.800,151.97
929,92.900,170.57
930,93.000,158.26
931,93.100,158.05
932,93.200,156.43
933,93.300,147.53
934,93.400,148.80
935,93.500,165.21
936,93.600,147.56
937,93.700,161.49
938,93.800,154.17
939,93.900,151.44
940,94.000,140.59
941,94.100,146.56
942,94.200,153.65
943,94.300,144.66
944,94.400,140.38
945,94.500,148.52
946,94.600,156.50
947,94.700,145.07
948,94.800,145.40
949,94.900,154.54
950,95.000,153.98
951,95.100,147.31
952,95.200,149.09
953,95.300,149.00
954,95.400,148.28
955,95.500,136.25
956,95.600,147.34
957,95.700,156.40
958,95.800,151.55
959,95.900,156.27
960,96.000,146.92
961,96.100,152.71
962,96.200,148.39
963,96.300,150.81
964,96.400,145.49
965,96.500,147.38
966,96.600,153.43
967,96.700,146.41
968,96.800,147.87
969,96.900,156.78
970,97.000,148.65
971,97.100,143.17
972,97.200,155.94
973,97.300,153.01
974,97.400,140.28
975,97.500,153.15
976,97.600,154.08
977,97.700,152.13
978,97.800,141.15
979,97.900,152.36
980,98.000,149.47
981,98.100,152.89
982,98.200,157.56
983,98.300,147.47
984,98.400,145.72
985,98.500,146.43
986,98.600,149.27
987,98.700,153.25
988,98.800,145.59
989,98.900,147.69
990,99.000,147.66
991,99.100,137.15
992,99.200,159.15
993,99.300,150.90
994,99.400,150.98
995,99.500,146.07
996,99.600,149.44
997,99.700,152.07
998,99.800,150.29
999,99.900,151.06
