#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
18.5%,1850000,3699.9999999263305,-1531064.012557228,243879.44570688225,299.55937458951325,1.0276314266130537
19.0%,1900000,3799.999999923966,-1530190.1937167384,246777.52732732572,303.1191149981938,1.0304489037648745
19.5%,1950000,3899.999999921601,-1532881.1384414332,243984.29351730258,299.6881601229786,1.029772426964911
20.0%,2000000,3999.9999999192364,-1533274.7409816384,246574.42704588236,302.8696450475312,1.029597353610896
20.5%,2050000,4099.999999917781,-1530832.848917664,245544.0094423269,301.603973592553,1.0291449700967976
21.0%,2100000,4199.999999938153,-1531954.4086586395,245513.58417259832,301.5666019528677,1.0299182665422106
21.5%,2150000,4299.999999958526,-1530896.7151469197,245607.08305807557,301.68144749705533,1.029778150068524
22.0%,2200000,4399.999999978899,-1530601.1965007242,243715.3034644376,299.3577571578026,1.0299714036591445
22.5%,2250000,4499.9999999992715,-1531451.9651638782,244208.2761870083,299.9632801039244,1.0311534395661401
23.0%,2300000,4600.000000019644,-1531580.8549124328,243972.7576911284,299.6739905611933,1.02744493706969
23.5%,2350000,4700.000000040017,-1531090.5742318882,243247.36030911084,298.7829782601927,1.0263842019193241
24.0%,2400000,4800.0000000603895,-1531295.8647702867,243998.78223785208,299.70595675218544,1.0322024331758377
24.5%,2450000,4900.000000080762,-1532829.4104488883,245036.6947224688,300.9808342387618,1.028879593987919
25.0%,2500000,5000.000000101135,-1531145.862874127,244679.01255314244,300.54148992815516,1.0292409899722412
25.5%,2550000,5100.000000121508,-1532427.7247813335,245294.35321081907,301.29731853863456,1.0265715457013114
26.0%,2600000,5200.00000014188,-1533864.0634147935,245023.78993224897,300.96498316580136,1.0294602136471271
26.5%,2650000,5300.000000162253,-1530722.638132765,243851.11900624435,299.52458064161544,1.031256001577361
