#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
11.0%,1100000,2199.9999999618008,-1533015.377482376,245273.1225592846,301.18818997476455,1.0310457341788433
11.5%,1150000,2299.999999959436,-1532233.8940330353,244839.2910592679,300.65545763589006,1.032062813769292
12.0%,1200000,2399.9999999570714,-1529636.6781282313,244790.1172639614,300.59507365965976,1.0290329209822937
12.5%,1250000,2499.9999999547067,-1528605.571319596,243909.4171747422,299.51359981933535,1.0290488751443134
13.0%,1300000,2599.999999952342,-1532668.7878709072,245224.66909866637,301.12869054837273,1.0293319918416928
13.5%,1350000,2699.9999999499773,-1529152.8861414362,243786.2235418492,299.3623216567699,1.0283586524912856
14.0%,1400000,2799.9999999476127,-1530503.9114338467,244133.82936390335,299.78917139585565,1.0287331142682268
14.5%,1450000,2899.999999945248,-1532445.0406853203,243600.83634099487,299.13467161959016,1.0289309295168645
15.0%,1500000,2999.9999999428833,-1532941.7845050655,243601.85240795635,299.1359193199735,1.0267091050067245
15.5%,1550000,3099.9999999405186,-1531381.8743664045,243809.478881272,299.39087853049057,1.0283563489134477
16.0%,1600000,3199.999999938154,-1531486.683205502,244219.64204657346,299.89454684955643,1.0296800172025877
16.5%,1650000,3299.999999935789,-1531104.6200523032,245450.37406697628,301.4058496197143,1.0296679795094963
17.0%,1700000,3399.9999999334245,-1532565.2604663586,243853.72485952842,299.4452112921306,1.0279427322302617
17.5%,1750000,3499.99999993106,-1531565.2840820793,244510.93661882606,300.25224802794395,1.0292767148868476
18.0%,1800000,3599.999999928695,-1529488.0999963125,245021.16723444453,300.8787962366686,1.0282073746042464
18.5%,1850000,3699.9999999263305,-1532207.083089753,245618.58321821268,301.6124055165424,1.0291512303790322
19.0%,1900000,3799.999999923966,-1532250.3318112232,245780.58287199034,301.8113363328859,1.027748777861072
19.5%,1950000,3899.999999921601,-1532953.7200035742,243716.22579618185,299.2763664811686,1.0278684666605333
20.0%,2000000,3999.9999999192364,-1529729.221909918,244442.02129096375,300.1676220296128,1.0285682770878037
20.5%,2050000,4099.999999917781,-1530159.4478569021,246254.07430578716,302.39276990549166,1.031532583087801
21.0%,2100000,4199.999999938153,-1531535.5459338306,245492.39033664306,301.4574443647005,1.029653819360007
21.5%,2150000,4299.999999958526,-1529508.3522762721,246001.7411117895,302.0829121551696,1.0284232747285131
22.0%,2200000,4399.999999978899,-1532397.6268174946,243320.2184917565,298.7900811434516,1.028909544301376
22.5%,2250000,4499.9999999992715,-1531261.261622372,244021.75610078062,299.651548720724,1.030579496751339
23.0%,2300000,4600.000000019644,-1530912.1529097538,243974.71496557648,299.5937835884557,1.0296707794172966
23.5%,2350000,4700.000000040017,-1531665.131997114,244276.75654046872,299.9646817704077,1.0280398685899999
24.0%,2400000,4800.0000000603895,-1529995.3338313838,243109.12217802895,298.5308610708299,1.028718340395682
24.5%,2450000,4900.000000080762,-1529669.6669217972,245279.77675449764,301.1963611310292,1.0280989558297444
25.0%,2500000,5000.000000101135,-1529368.1527591674,244770.28503182257,300.57072026113514,1.0282647136848015
25.5%,2550000,5100.000000121508,-1531951.6438672356,245391.90903916123,301.33405628287943,1.0305240394847235
26.0%,2600000,5200.00000014188,-1531363.1294077225,245503.4219337629,301.4709908419271,1.0281444981057886
26.5%,2650000,5300.000000162253,-1531011.4649431119,243582.9909667175,299.11275802415855,1.0277847380071476
27.0%,2700000,5400.000000182626,-1531702.0750529468,244193.93590206938,299.86298045918466,1.0307418248086897
27.5%,2750000,5500.000000202998,-1531905.3702671044,243435.7699199591,298.93197490313537,1.0309613327095322
28.0%,2800000,5600.000000223371,-1530710.9709506938,244374.70486019138,300.08495942994296,1.0296807561715149
28.5%,2850000,5700.000000243744,-1531080.357198123,243172.86776950362,298.60913878473025,1.0310525596788762
29.0%,2900000,5800.000000264116,-1529953.402570407,244726.14453590265,300.51651702870595,1.0300549575743834
29.5%,2950000,5900.000000284489,-1530634.964369067,244864.62034402022,300.68656125355636,1.0283446333301722
30.0%,3000000,6000.000000304862,-1530931.309759954,243674.02518303617,299.2245453678051,1.0308643849907184
30.5%,3050000,6100.000000325234,-1531649.0144925993,245297.12779774016,301.21766770247035,1.0300741879351258
