#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
9.5%,950000,1899.9999999688948,-1647942.5426133694,253932.27444602965,-1394010.2681673397,299.48061059991994,1045.2132057683134,0.9752688559959105,213,2:02:18
10.0%,1000000,1999.9999999665301,-1645712.9759035837,254687.32854660755,-1391025.647356976,300.37110025339285,1045.2132057683134,0.9752688559959105,213,2:01:37
10.5%,1050000,2099.9999999641655,-1648136.41834951,252612.77072636026,-1395523.6476231497,297.92442487867777,1045.2132057683134,0.9752688559959105,213,2:00:56
11.0%,1100000,2199.9999999618008,-1649210.9501913395,254908.624315285,-1394302.3258760544,300.632090283397,1045.2132057683134,0.9752688559959105,213,2:00:15
11.5%,1150000,2299.999999959436,-1647174.54889555,254676.61525281036,-1392497.9336427397,300.35846529482006,1045.2132057683134,0.9752688559959105,213,1:59:34
12.0%,1200000,2399.9999999570714,-1647654.7498002136,254009.9768046855,-1393644.772995528,299.5722505848965,1045.2132057683134,0.9752688559959105,213,1:58:54
12.5%,1250000,2499.9999999547067,-1648064.3659338169,255854.7480461401,-1392209.6178876767,301.7479221060265,1045.2132057683134,0.9752688559959105,213,1:58:13
13.0%,1300000,2599.999999952342,-1648323.9013814852,255541.19018713178,-1392782.7111943534,301.3781207513973,1045.2132057683134,0.9752688559959105,213,1:57:32
13.5%,1350000,2699.9999999499773,-1646648.527200033,254758.09001420112,-1391890.4371858318,300.4545543458988,1045.2132057683134,0.9752688559959105,213,1:56:52
14.0%,1400000,2799.9999999476127,-1645697.1813733773,254533.65588093232,-1391163.525492445,300.18986301661647,1045.2132057683134,0.9752688559959105,213,1:56:11
14.5%,1450000,2899.999999945248,-1647450.7151379343,254253.53256615094,-1393197.1825717834,299.85949342678384,1045.2132057683134,0.9752688559959105,213,1:55:30
15.0%,1500000,2999.9999999428833,-1647765.1365498742,254407.9118908391,-1393357.224659035,300.0415640774031,1045.2132057683134,0.9752688559959105,213,1:54:50
15.5%,1550000,3099.9999999405186,-1645619.731857188,254316.04377563286,-1391303.688081555,299.93321739600293,1045.2132057683134,0.9752688559959105,213,1:54:09
16.0%,1600000,3199.999999938154,-1648302.6756570013,253286.0054928154,-1395016.670164186,298.718419101645,1045.2132057683134,0.9752688559959105,213,1:53:28
16.5%,1650000,3299.999999935789,-1646202.4534936454,252664.7750800335,-1393537.6784136118,297.98575735650434,1045.2132057683134,0.9752688559959105,213,1:52:48
17.0%,1700000,3399.9999999334245,-1646763.452456248,253276.91387163952,-1393486.5385846086,298.70769669833084,1045.2132057683134,0.9752688559959105,213,1:52:07
17.5%,1750000,3499.99999993106,-1645643.5697900802,255877.17039084295,-1389766.3993992372,301.7743663912098,1045.2132057683134,0.9752688559959105,213,1:51:26
18.0%,1800000,3599.999999928695,-1647255.255781144,256028.24875367995,-1391227.007027464,301.9525439798978,1045.2132057683134,0.9752688559959105,213,1:50:45
18.5%,1850000,3699.9999999263305,-1646865.7711811634,253875.93672402296,-1392989.8344571404,299.41416746887967,1045.2132057683134,0.9752688559959105,213,1:50:05
19.0%,1900000,3799.999999923966,-1644535.0286527341,254496.27025009648,-1390038.7584026377,300.1457714509626,1045.2132057683134,0.9752688559959105,213,1:49:24
19.5%,1950000,3899.999999921601,-1646743.461308604,256675.48055728333,-1390067.9807513207,302.71587103694753,1045.2132057683134,0.9752688559959105,213,1:48:43
20.0%,2000000,3999.9999999192364,-1648301.5151273021,254126.06045965778,-1394175.4546676443,299.7091563955014,1045.2132057683134,0.9752688559959105,213,1:48:02
20.5%,2050000,4099.999999917781,-1644153.5014282,254921.58743628132,-1389231.9139919186,300.6473786251398,1045.2132057683134,0.9752688559959105,213,1:47:22
21.0%,2100000,4199.999999938153,-1647554.9609461678,254246.16113374574,-1393308.7998124221,299.8507997659149,1045.2132057683134,0.9752688559959105,213,1:46:42
21.5%,2150000,4299.999999958526,-1646875.2765537556,255200.47753320288,-1391674.7990205528,300.9762937923771,1045.2132057683134,0.9752688559959105,213,1:46:02
22.0%,2200000,4399.999999978899,-1644635.0874860287,255371.90482222586,-1389263.1826638028,301.17847033453614,1045.2132057683134,0.9752688559959105,213,1:45:22
22.5%,2250000,4499.9999999992715,-1648514.8660942633,254961.60802471256,-1393553.2580695506,300.69457778596376,1045.2132057683134,0.9752688559959105,213,1:44:42
23.0%,2300000,4600.000000019644,-1647277.1053042198,255619.23483765507,-1391657.8704665648,301.4701644258131,1045.2132057683134,0.9752688559959105,213,1:44:02
23.5%,2350000,4700.000000040017,-1646610.0644939076,254443.53931422567,-1392166.5251796818,300.0835820624473,1045.2132057683134,0.9752688559959105,213,1:43:22
24.0%,2400000,4800.0000000603895,-1646916.516247903,254741.90260604295,-1392174.61364186,300.4354633702053,1045.2132057683134,0.9752688559959105,213,1:42:42
24.5%,2450000,4900.000000080762,-1646586.74450937,253761.144620239,-1392825.599889131,299.2787848775637,1045.2132057683134,0.9752688559959105,213,1:42:01
25.0%,2500000,5000.000000101135,-1647092.342319684,253161.254682182,-1393931.087637502,298.5712914904627,1045.2132057683134,0.9752688559959105,213,1:41:21
25.5%,2550000,5100.000000121508,-1646377.2215376468,254374.1856536885,-1392003.0358839585,300.0017882981441,1045.2132057683134,0.9752688559959105,213,1:40:41
26.0%,2600000,5200.00000014188,-1648135.6941795405,254755.32117930107,-1393380.3730002395,300.45128885958627,1045.2132057683134,0.9752688559959105,213,1:40:01
26.5%,2650000,5300.000000162253,-1648479.6722129453,254589.818877842,-1393889.8533351033,300.2561000817722,1045.2132057683134,0.9752688559959105,213,1:39:20
