dataset	gene	log2FC	lfcSE	padj	baseMean	detected	cell_type
GSE87281_hiPSC-MN	ITPR1	-0.3964222394251783	0.2844431702965774	0.4797953529473401	223.46247936530224	True	Purkinje
GSE87281_hiPSC-MN	KIT	-0.1166314250604757	0.2108604891794542	0.8118775827754314	95.1264524868718	True	MLI
GSE87281_hiPSC-MN	LHX9	0.4213750126116033	1.853061734763849		1.1587458263389805	True	DCN
GSE87281_hiPSC-MN	MEIS2	0.2040497663493751	0.1601706576081376	0.5287099912687946	3233.59423608075	True	DCN
GSE87281_hiPSC-MN	NEUROD1	-0.0233621660826147	0.3040550806477595	0.9784940549656078	44.4091004078195	True	Granule
GSE87281_hiPSC-MN	PCP2				0.0	False	Purkinje
GSE87281_hiPSC-MN	PCP4	0.4171127327587408	0.1838412719231042	0.1947244390977005	331.89842634218775	True	Purkinje
GSE87281_hiPSC-MN	PVALB	1.042723711070095	1.4099495959884345		1.8579366469355791	True	Purkinje
GSE87281_hiPSC-MN	PVALB	1.042723711070095	1.4099495959884345		1.8579366469355791	True	MLI
GSE87281_hiPSC-MN	RBFOX3	0.6080647506041167	0.2717834389197754	0.2015634228898135	80.67384126413465	True	Granule
GSE87281_hiPSC-MN	ROBO3	-0.1882371787553776	0.2338772568336979	0.7147013015979867	93.75760039366264	True	DCN
GSE87281_hiPSC-MN	S100B	0.1060917621253948	0.2068309397570864	0.8302551962437116	100.0565052937854	True	BergmannGlia
GSE87281_hiPSC-MN	SLC17A6	-0.1019477758291097	0.2592945743549603	0.8741074269961154	85.00802157699317	True	DCN
GSE87281_hiPSC-MN	SLC1A3	-0.2717735343965473	0.2480816836132687	0.5998491570733875	2214.9835077425105	True	BergmannGlia
GSE87281_hiPSC-MN	SORCS3	0.126004016802941	0.1824043817782853	0.7582075632352672	163.0208869952367	True	MLI
GSE87281_hiPSC-MN	SST	0.567670645878087	0.220942429865987	0.1292397784220222	834.8473898436163	True	MLI
GSE87281_hiPSC-MN	ZIC1	-0.2659715369502799	0.2026759310805345	0.5130329156863392	164.86616648266167	True	Granule
GSE87281_hiPSC-MN	ZIC2	-0.1296027117278941	0.2212360103404454	0.7999331615063248	130.05998723396655	True	Granule
GSE302774_Hb9-iMN	CA8	0.0381250093025045	0.162924364291012	0.855033774973881	145.594251684793	True	Purkinje
GSE302774_Hb9-iMN	CALB1	-1.47083716920969	0.0494839317162945	9.94182879460842e-193	2959.776326265	True	Purkinje
GSE302774_Hb9-iMN	CALB2	0.135533639036343	0.2763602169368	0.445819967540849	21.5248029300265	True	Purkinje
GSE302774_Hb9-iMN	CARTPT	0.0772781582010127	0.182295972209206	0.707670866291725	138.377118287224	True	MLI
GSE302774_Hb9-iMN	CBLN1	1.01767239965398	0.219306251627811	1.56145914975491e-06	138.889648783649	True	Purkinje
GSE302774_Hb9-iMN	CBLN3	-0.0165006476113331	0.26697950890664	0.909480838566147	8.47746288203869	True	Purkinje
GSE302774_Hb9-iMN	ETV1	0.0236356409939426	0.204305137743949	0.920057908979868	73.9059648528882	True	Granule
GSE302774_Hb9-iMN	GDF10	-0.501855198459507	0.489640034374209	0.0593050654804133	31.4464314972328	True	BergmannGlia
GSE302774_Hb9-iMN	GRIA2	-0.135866135995423	0.0653496518701854	0.0699863228405313	4955.58892119655	True	Granule
GSE302774_Hb9-iMN	GRID2	-1.20452661631222	0.142583895966426	2.83689374092247e-17	467.635461483476	True	Purkinje
GSE302774_Hb9-iMN	GRIK2	-0.498911942616189	0.139354755389976	0.0002948469584721	356.23388964573	True	Afferents
GSE302774_Hb9-iMN	GRM4	0.432524399338852	0.114777085443644	0.0001941415454057	519.556212129132	True	Granule
GSE302774_Hb9-iMN	HOMER3	-0.280686979053265	0.0943421552238571	0.0047252206393287	683.580459771413	True	Purkinje
GSE302774_Hb9-iMN	HOPX	-0.163709795192406	0.214498807607198	0.41153700319685	79.8812569145192	True	BergmannGlia
GSE302774_Hb9-iMN	ITPR1	-0.104467685169806	0.260740054932067	0.562172192884042	57.108468987559	True	Purkinje
GSE302774_Hb9-iMN	KIT	-2.07715939932871	0.134966679632857	5.84250465430988e-53	694.431049237585	True	MLI
GSE302774_Hb9-iMN	MEIS2	-0.186480341722723	0.0391408495812362	7.27228560781663e-06	24870.4053185508	True	DCN
GSE302774_Hb9-iMN	NEUROD1	0.125381300278894	0.213634715980917	0.538482764821611	88.7631957442095	True	Granule
GSE302774_Hb9-iMN	PCP4	-0.607549650875564	0.163794877508092	0.0001363675323297	210.573650317412	True	Purkinje
GSE302774_Hb9-iMN	RBFOX3	0.346353251817134	0.0780491007573352	1.85101868906503e-05	1886.38201387827	True	Granule
GSE302774_Hb9-iMN	ROBO3	0.0776361249380535	0.119396723917073	0.615805673572814	445.265346558449	True	DCN
GSE302774_Hb9-iMN	S100B	-0.0422593212762321	0.23782836898844	0.834428246517082	29.7560939235043	True	BergmannGlia
GSE302774_Hb9-iMN	SLC17A6	-0.713900189779225	0.110092839168642	1.0167920805058001e-10	593.327104885669	True	DCN
GSE302774_Hb9-iMN	SLC1A3	0.135427077713046	0.25735868842712	0.480793492529689	46.1559623657417	True	BergmannGlia
GSE302774_Hb9-iMN	SORCS3	0.285973575006597	0.0562417322416098	1.14562920717444e-06	2140.71671718213	True	MLI
GSE302774_Hb9-iMN	SST	-0.397875391285875	0.0593974193437453	6.34461851103674e-11	2202.24622938118	True	MLI
GSE302774_iN	ATOH1	-0.223861704080404	0.618162333693231	0.410273765203701	2.52526547061679	True	Granule
GSE302774_iN	CA8	0.624953098795987	0.333034562106981	0.0497901636266038	77.5920572039624	True	Purkinje
GSE302774_iN	CALB1	0.606061131706068	0.0824189147627861	5.52323146632302e-13	2781.96191474538	True	Purkinje
GSE302774_iN	CALB2	-0.247906230345229	0.458548077025028	0.542501676188969	15.0442280331528	True	Purkinje
GSE302774_iN	CARTPT	-0.491359819607092	0.881886479261637	0.0531426106312093	2.89850559210156	True	MLI
