GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
19,10072914.0316,642926.4168,27900.1761,0.0,0.0,0.0,19568557.8019,-12058.2802,16727337.8949,7461.8804,-11163.9733,150.24016583999997,47035039.9215,-11013.73313416,47024026.18836583
20,10133920.2022,644492.8311,27850.8178,0.0,0.0,0.0,19570944.8215,-12352.1772,16690985.6152,7333.9875,-11135.1295,149.36619456,47063176.0981,-10985.76330544,47052190.33479456
21,10184160.5522,643993.3684,27930.9133,0.0,0.0,0.0,19403150.975,-11997.9799,16764355.2875,7491.8795,-10985.8457,144.9135216,47019084.99600001,-10840.9321784,47008244.06382161
22,10085302.801,643703.0603,27938.9249,0.0,0.0,0.0,19512934.0711,-11903.9,16557589.4736,7343.1831,-11234.6361,148.1148612,46822907.61400001,-11086.5212388,46811821.0927612
23,10061223.7833,642578.7842,27901.332,0.0,0.0,0.0,19509850.6632,-11812.3896,16709356.1271,7435.0259,-11307.0284,147.57337944,46946533.32609999,-11159.455020559999,46935373.87107944
24,10111911.5451,647053.029,27809.8908,0.0,0.0,0.0,19406206.9632,-12188.793,16759588.4996,7342.7738,-11093.2191,146.58620976,46947723.9085,-10946.63289024,46936777.27560976
25,10032989.8638,641823.8097,27874.9209,0.0,0.0,0.0,19559330.9725,-11618.9993,16669687.1217,7443.3481,-10980.1554,146.09250288,46927531.0374,-10834.06289712,46916696.97450288
26,10031422.2272,640826.5574,27883.986,0.0,0.0,0.0,19556543.3063,-12457.5352,16669469.1408,7347.8162,-10981.4434,148.73609592,46921035.4987,-10832.70730408,46910202.79139592
27,10080898.9075,642823.3773,27722.4257,0.0,0.0,0.0,19443580.8003,-12394.3851,16626374.8633,7177.4717,-10666.6995,146.51437896,46816183.46069999,-10520.18512104,46805663.275578946
28,10158589.8781,645204.2127,27768.9066,0.0,0.0,0.0,19637823.009,-12392.8781,16777325.6189,7149.2236,-10844.1792,143.93997792,47241467.9708,-10700.239222080001,47230767.73157792
29,10183710.7959,643276.1761,28058.2471,0.0,0.0,0.0,19640327.1974,-12569.2324,16732802.7943,7164.2396,-10768.8229,146.49171048,47222770.218,-10622.331189519999,47212147.88681048
30,10243692.806,647122.6906,27738.666,0.0,0.0,0.0,19433730.2796,-12465.2566,16569246.0025,7240.2709,-10939.9986,150.13907856,46916305.459,-10789.859521440001,46905515.59947856
31,10086140.2982,644469.6522,27970.936,0.0,0.0,0.0,19552463.3245,-12734.8358,16627738.432,7273.992,-10850.3499,144.31801031999998,46933321.7991,-10706.03188968,46922615.76721032
