GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
18,15465915.034,942362.0273,42158.1605,0.0,0.0,0.0,26711800.0618,-13938.9087,23496605.3836,5210.9647,-20966.0345,236.19138695999996,66650112.72320001,-20729.843113040002,66629382.880086966
19,15480128.6661,942645.817,42475.1847,0.0,0.0,0.0,26748628.1627,-14574.9487,23493035.624,5244.0572,-20767.4216,238.27106016,66697582.56299999,-20529.15053984,66677053.412460156
20,15524027.7796,947074.9775,42254.8951,0.0,0.0,0.0,26793489.1015,-14379.8978,23507668.3061,5227.7862,-20345.783,235.19930976,66805362.9482,-20110.58369024,66785252.36450976
21,15437421.8799,943711.4348,42422.2535,0.0,0.0,0.0,26919601.0763,-13802.9849,23443241.5112,5241.0278,-20574.4937,233.28405792,66777836.1986,-20341.20964208,66757494.98895793
22,15479204.9351,943616.558,42050.136,0.0,0.0,0.0,26831889.3866,-14554.5213,23628377.6375,5287.9312,-20599.8454,233.0757612,66915872.063099995,-20366.769638799997,66895505.293461196
23,15340837.1784,936554.6526,42198.0975,0.0,0.0,0.0,26800362.1813,-13581.4466,23463314.9128,5318.7034,-21316.0986,236.84858424,66575004.2794,-21079.25001576,66553925.02938424
24,15397422.0438,941425.8036,41986.5488,0.0,0.0,0.0,26991537.9741,-14389.0015,23479433.5022,5196.7474,-20561.8147,235.41138863999998,66842613.6184,-20326.403311359998,66822287.21508864

Receptor Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,15289652.9666,939662.8748,42059.6062,0.0,0.0,0.0,26728303.8442,-14673.4201,23532948.8519,5595.3534,-20819.4143,236.05281503999998,66523550.077,-20583.36148496,66502966.71551504
1,15393209.144,941617.4846,42411.4937,0.0,0.0,0.0,26589131.7596,-14135.0457,23625946.4314,5523.8127,-21293.2781,237.45543047999996,66583705.0803,-21055.82266952,66562649.25763048
2,15325271.2112,942521.7736,42425.3999,0.0,0.0,0.0,26723691.3635,-13597.5663,23548767.6687,5517.5296,-20925.3976,232.16891328,66574597.380200006,-20693.228686720002,66553904.151513286
3,15392497.5504,938234.3631,42208.0576,0.0,0.0,0.0,26732291.4685,-14204.3603,23455392.2418,5481.3988,-20707.5229,236.43757656000002,66551900.7199,-20471.08532344,66531429.63457656
4,15376533.2604,944325.8601,42289.0273,0.0,0.0,0.0,26908581.0787,-14694.3373,23404229.1013,5345.5998,-20792.7165,236.88295272,66666609.590299994,-20555.83354728,66646053.756752715
5,15373748.1607,941072.6532,41813.3006,0.0,0.0,0.0,26913980.5431,-14192.9152,23321476.4465,5156.8273,-20965.0702,237.72244247999996,66583055.01619999,-20727.347757519998,66562327.668442465
