GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
10,9938657.1957,643207.4805,27947.7143,0.0,0.0,0.0,19415550.5644,-12485.4532,16686066.6333,7077.038,-10421.7303,145.70005464,46706021.173,-10276.03024536,46695745.14275464
11,9935071.2322,642692.8348,28218.302,0.0,0.0,0.0,19388999.8382,-12055.9108,16878445.7443,7264.8567,-10755.6927,147.0296664,46868636.89740001,-10608.6630336,46858028.23436641
12,9935526.0151,643285.7972,27676.7769,0.0,0.0,0.0,19546021.4411,-12463.3301,16719764.3782,7218.4277,-10676.6013,145.67392728,46867029.5061,-10530.92737272,46856498.578727275
13,9984964.9921,643590.3244,27832.4131,0.0,0.0,0.0,19491625.8261,-12733.0925,16778694.7937,7200.4717,-10534.5848,145.90879272,46921175.728599995,-10388.67600728,46910787.05259272
14,9875886.7286,644251.9073,27976.8521,0.0,0.0,0.0,19537591.1022,-12989.9728,16736578.2805,7251.3007,-10686.7596,147.52241136,46816546.1986,-10539.23718864,46806006.961411364
15,9976061.2472,644051.0183,27804.2394,0.0,0.0,0.0,19501255.9972,-12936.7501,16808405.7999,7172.7322,-10203.691,143.04450744000002,46951814.284099996,-10060.646492560001,46941753.63760743
16,9981864.3089,646047.6322,27845.2932,0.0,0.0,0.0,19476374.7973,-12452.7744,16728329.1576,7145.0603,-10439.4195,146.46293208,46855153.4751,-10292.95656792,46844860.51853208
17,9870233.5967,645133.7443,27825.9117,0.0,0.0,0.0,19643572.4118,-12615.3158,16593703.2027,7252.6464,-10595.1075,147.50535816,46775106.197799996,-10447.60214184,46764658.59565815
18,9944020.2589,642079.5212,27992.1187,0.0,0.0,0.0,19484459.1484,-12952.0888,16716088.0689,7110.8218,-10523.1695,148.73693184,46808797.8491,-10374.43256816,46798423.41653184
19,9918965.9676,642757.0637,28059.798,0.0,0.0,0.0,19490643.6284,-13064.1706,16754379.2916,7250.9732,-10543.5048,148.6565136,46828992.5519,-10394.8482864,46818597.7036136
20,9836252.8052,643509.4932,27635.8037,0.0,0.0,0.0,19375148.1245,-13363.6937,16891103.4065,7315.795,-10322.3704,149.77691063999998,46767601.734400004,-10172.59348936,46757429.14091065
21,9899189.2115,644808.9887,27845.6551,0.0,0.0,0.0,19627795.175,-12938.479,16804343.6575,7415.8822,-10593.6533,147.18655511999998,46998460.091000006,-10446.46674488,46988013.62425512
22,9918171.2202,643097.2674,27972.5312,0.0,0.0,0.0,19380412.4703,-12800.0813,16764956.4012,7164.9011,-10556.8925,151.33739112,46728974.7101,-10405.55510888,46718569.15499113
23,9833802.715,640190.9343,27706.8292,0.0,0.0,0.0,19621815.646,-13131.4129,16819257.05,7196.844,-10068.8971,149.48000568,46936838.6056,-9919.41709432,46926919.18850568
24,9854047.9196,642795.186,27834.8505,0.0,0.0,0.0,19579342.1675,-12917.1328,16728616.5487,7297.3374,-10728.6229,151.32954888,46827016.876899995,-10577.29335112,46816439.58354887
25,9926854.5715,642782.227,27763.6575,0.0,0.0,0.0,19573644.8922,-12535.8961,16772834.5023,7212.9703,-10757.9284,151.87813056,46938556.9247,-10606.05026944,46927950.87443056
26,9862868.0287,642956.6517,27792.1928,0.0,0.0,0.0,19615534.0054,-12510.2303,16734883.261,7245.911,-10586.9224,153.468324,46878769.8203,-10433.454076,46868336.366224
27,9909403.8109,641635.1316,27973.5374,0.0,0.0,0.0,19466621.3272,-12465.3217,16740650.1403,7100.4906,-10910.1058,150.79463424,46780919.116299994,-10759.31116576,46770159.80513423
28,9913949.3266,642969.6748,27897.2856,0.0,0.0,0.0,19632692.7103,-12536.2054,16692817.9978,6913.3236,-10820.8531,149.95686816,46904704.1133,-10670.89623184,46894033.21706816
29,10004795.7384,645612.8393,28028.2358,0.0,0.0,0.0,19328515.8016,-12298.7397,16644275.8626,7060.8031,-11003.2365,151.38007344,46645990.541099995,-10851.856426560002,46635138.684673436
30,9995175.4192,644401.8266,27416.3187,0.0,0.0,0.0,19559677.0376,-12685.1204,16548923.4042,7036.1921,-10567.1273,146.13555024000001,46769945.078,-10420.99174976,46759524.08625024
31,9850970.8813,643578.0918,27995.4931,0.0,0.0,0.0,19427962.0486,-12662.085,16673609.983,7161.7799,-10745.5616,151.49613312,46618616.1927,-10594.065466880002,46608022.12723312
