GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
20,10040193.7162,640249.8051,28120.4694,0.0,0.0,0.0,19529971.002,-15537.5183,16786416.4563,7736.5584,-11866.91,178.97472864,47017150.4891,-11687.93527136,47005462.55382864
21,10136871.9528,646216.351,28335.8934,0.0,0.0,0.0,19458720.4486,-14780.9306,16785395.8461,7432.7979,-11982.8568,180.0659412,47048192.3592,-11802.7908588,47036389.5683412
22,10030003.2445,644168.4308,28322.1536,0.0,0.0,0.0,19478291.8627,-14924.5591,16589938.6864,7653.8538,-12127.903,184.3159428,46763453.6727,-11943.5870572,46751510.08564281
23,10062135.4691,643024.683,28396.4755,0.0,0.0,0.0,19553627.5869,-14897.2581,16741987.2191,7718.3545,-12062.4361,178.00227791999998,47021992.53000001,-11884.43382208,47010108.09617793
24,10055349.0337,643715.694,28418.5432,0.0,0.0,0.0,19588697.9618,-15124.7773,16639107.6518,7569.9019,-12140.956,187.1051472,46947734.0091,-11953.8508528,46935780.158247195

Receptor Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,9924006.364,641214.1825,28309.0933,0.0,0.0,0.0,19441310.6162,-15467.7681,16856788.2905,7765.1098,-11854.7923,183.60828,46883925.8882,-11671.184019999999,46872254.70418
1,10001555.6869,642296.4421,28629.938,0.0,0.0,0.0,19324948.5889,-15514.9831,16629208.1491,7785.8005,-11876.1365,182.71186344,46618909.62239999,-11693.424636560001,46607216.197763436
2,9989275.466,642992.4905,28822.2245,0.0,0.0,0.0,19523919.1657,-15021.6479,16681202.4723,7664.2894,-12027.4549,182.41687728,46858854.460499994,-11845.03802272,46847009.422477275
3,10049107.6678,642963.3218,28356.2393,0.0,0.0,0.0,19500764.8492,-15422.8742,16868089.408,7539.5695,-11591.7733,179.14633991999997,47081398.18139999,-11412.62696008,47069985.55443992
4,10057173.116,641152.9347,28358.8474,0.0,0.0,0.0,19512418.9579,-15448.4954,16780037.0703,7718.3078,-11444.8296,181.36723392,47011410.7387,-11263.462366079999,47000147.27633392
5,10018853.321,643928.1956,28390.8677,0.0,0.0,0.0,19593411.4003,-15575.0032,16801418.0253,7628.7673,-11771.267,184.51090295999998,47078055.574,-11586.756097039999,47066468.81790297
