#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
14.5%,1450000,2899.999999945248,-7026306.215739962,1096974.6283844877,300.25208879940004,0.9606101752992077,19.6
15.0%,1500000,2999.9999999428833,-7024279.527531605,1098169.3431955539,300.5790932790483,0.9606101752992077,19.6
15.5%,1550000,3099.9999999405186,-7020394.169446435,1097821.7354521123,300.4839498287345,0.9606101752992077,19.6
16.0%,1600000,3199.999999938154,-7024195.55049862,1096384.5340950834,300.09057454155146,0.9606101752992077,19.6
16.5%,1650000,3299.999999935789,-7024146.972695418,1098638.9130535894,300.70761888671893,0.9606101752992077,19.6
17.0%,1700000,3399.9999999334245,-7020335.162463345,1096695.8924305195,300.1757961940499,0.9606101752992077,19.6
17.5%,1750000,3499.99999993106,-7021447.9044835605,1095160.4783788098,299.7555391851192,0.9606101752992077,19.6
18.0%,1800000,3599.999999928695,-7020755.861844894,1096711.9177244022,300.180182465015,0.9606101752992077,19.6
18.5%,1850000,3699.9999999263305,-7023183.467783619,1095988.6832326853,299.9822265039463,0.9606101752992077,19.6
19.0%,1900000,3799.999999923966,-7013616.066553045,1095983.2534363493,299.98074031853287,0.9606101752992077,19.6
19.5%,1950000,3899.999999921601,-7020978.435633343,1096459.2126159833,300.1110147425447,0.9606101752992077,19.6
20.0%,2000000,3999.9999999192364,-7018952.80798766,1095082.9025123082,299.7343059538713,0.9606101752992077,19.6
20.5%,2050000,4099.999999917781,-7022829.810188577,1097850.616445314,300.4918548233543,0.9606101752992077,19.6
21.0%,2100000,4199.999999938153,-7024071.251622595,1096155.5212671368,300.0278916150976,0.9606101752992077,19.6
21.5%,2150000,4299.999999958526,-7026080.960760187,1096460.6065637558,300.11139627892624,0.9606101752992077,19.6
22.0%,2200000,4399.999999978899,-7016494.996761754,1095829.5957993288,299.9386828039089,0.9606101752992077,19.6
22.5%,2250000,4499.9999999992715,-7015801.298963975,1098195.917808106,300.5863669959797,0.9606101752992077,19.6
23.0%,2300000,4600.000000019644,-7020705.940232959,1096416.7252298822,300.09938555250295,0.9606101752992077,19.6
23.5%,2350000,4700.000000040017,-7023759.206249353,1096663.5533943195,300.1669447011188,0.9606101752992077,19.6
24.0%,2400000,4800.0000000603895,-7019638.66429022,1095701.8495343626,299.90371747116563,0.9606101752992077,19.6
24.5%,2450000,4900.000000080762,-7023461.540694594,1097471.0203390736,300.3879558626585,0.9606101752992077,19.6
25.0%,2500000,5000.000000101135,-7025461.498189673,1097997.8497413057,300.5321539364955,0.9606101752992077,19.6
25.5%,2550000,5100.000000121508,-7027913.349157404,1095388.6915906973,299.81800324927144,0.9606101752992077,19.6
26.0%,2600000,5200.00000014188,-7018917.57043568,1098855.726110605,300.76696262317694,0.9606101752992077,19.6
26.5%,2650000,5300.000000162253,-7023311.010744669,1098058.6550212824,300.54879690329767,0.9606101752992077,19.6
27.0%,2700000,5400.000000182626,-7027149.510957245,1099112.5186156377,300.8372491038566,0.9606101752992077,19.6
27.5%,2750000,5500.000000202998,-7026035.050619416,1096143.2762695318,300.02454004614316,0.9606101752992077,19.6
28.0%,2800000,5600.000000223371,-7018936.54344821,1096873.595735418,300.22443523008747,0.9606101752992077,19.6
