#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
12.5%,1250000,2499.9999999547067,-48853178.69104722,7499324.420741462,300.4093199857526,0.9872599595729294,3.11
13.0%,1300000,2599.999999952342,-48852757.51603809,7495039.870604736,300.2376886866107,0.9872599595729294,3.14
13.5%,1350000,2699.9999999499773,-48834526.69577691,7496095.9460587865,300.2799931518139,0.9872599595729294,3.17
14.0%,1400000,2799.9999999476127,-48848977.27514145,7498102.577882307,300.36037517928,0.9872599595729294,3.2
14.5%,1450000,2899.999999945248,-48854291.16446751,7492551.111142859,300.13799350133735,0.9872599595729294,3.23
15.0%,1500000,2999.9999999428833,-48844447.435133666,7506869.486373788,300.7115616156234,0.9872599595729294,3.25
15.5%,1550000,3099.9999999405186,-48860753.44273874,7504191.387526084,300.604281838332,0.9872599595729294,3.28
16.0%,1600000,3199.999999938154,-48851566.18569866,7497277.502556969,300.32732415981275,0.9872599595729294,3.3
16.5%,1650000,3299.999999935789,-48849204.99997547,7502092.862866198,300.52021875068823,0.9872599595729294,3.32
17.0%,1700000,3399.9999999334245,-48855432.91127759,7498312.707496481,300.36879259009754,0.9872599595729294,3.34
17.5%,1750000,3499.99999993106,-48861651.754850864,7495964.757806708,300.2747379886304,0.9872599595729294,3.36
18.0%,1800000,3599.999999928695,-48850799.049046576,7491295.844563278,300.087709801311,0.9872599595729294,3.38
18.5%,1850000,3699.9999999263305,-48862373.516911715,7501987.020526113,300.5159788987193,0.9872599595729294,3.4
19.0%,1900000,3799.999999923966,-48857803.38598311,7491789.3946135435,300.10748052019994,0.9872599595729294,3.42
19.5%,1950000,3899.999999921601,-48849900.606675446,7495236.374732837,300.24556028519544,0.9872599595729294,3.44
20.0%,2000000,3999.9999999192364,-48858269.183341116,7497790.271045152,300.34786473443023,0.9872599595729294,3.45
20.5%,2050000,4099.999999917781,-48861983.67694962,7495331.337910835,300.24936433768414,0.9872599595729294,3.47
21.0%,2100000,4199.999999938153,-48848498.77639523,7494376.929193687,300.2111324573678,0.9872599595729294,3.48
21.5%,2150000,4299.999999958526,-48854360.98651028,7499558.262232403,300.4186872513004,0.9872599595729294,3.5
22.0%,2200000,4399.999999978899,-48863371.77661422,7501167.145989372,300.48313621340026,0.9872599595729294,3.51
22.5%,2250000,4499.9999999992715,-48843849.39760196,7496025.848613188,300.2771851754171,0.9872599595729294,3.52
23.0%,2300000,4600.000000019644,-48848874.416730225,7488226.7704742085,299.964768265733,0.9872599595729294,3.53
23.5%,2350000,4700.000000040017,-48860151.76617524,7498806.96426438,300.38859161881163,0.9872599595729294,3.55
24.0%,2400000,4800.0000000603895,-48857225.313767135,7501646.158839069,300.50232459842925,0.9872599595729294,3.56
24.5%,2450000,4900.000000080762,-48858624.10637653,7497217.563526012,300.3249231110621,0.9872599595729294,3.57
25.0%,2500000,5000.000000101135,-48861075.109231025,7498228.976326242,300.36543847144605,0.9872599595729294,3.58
