Gene	gene_name	uniprot_primary	sc_ntpm	cortex_ntpm	skm_ntpm	heart_ntpm	description	protein_class	druggable_class
ENSG00000178498	DTX3	Q8N9I9	58.8	126.5	19.7	65.9	Deltex E3 ubiquitin ligase 3	Enzymes, Predicted intracellular proteins	True
ENSG00000134440	NARS1	O43776	58.7	79.5	119.2	88.9	Asparaginyl-tRNA synthetase 1	Disease related genes, Enzymes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins	True
ENSG00000157916	RER1	O15258	58.7	45.7	99.7	70.4	Retention in endoplasmic reticulum sorting receptor 1	Predicted membrane proteins, Transporters	True
ENSG00000095970	TREM2	Q9NZC2	58.6	22.4	0.4	2.1	Triggering receptor expressed on myeloid cells 2	Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins, Transporters	True
ENSG00000095139	ARCN1	P48444	58.6	47.6	45.8	68.9	Archain 1	Disease related genes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	True
ENSG00000115677	HDLBP	Q00341	58.5	70.3	344.3	150.1	High density lipoprotein binding protein	Metabolic proteins, Plasma proteins, Predicted intracellular proteins	True
ENSG00000172531	PPP1CA	P62136	58.5	61.6	123.6	117.7	Protein phosphatase 1 catalytic subunit alpha	Enzymes, Essential proteins, Plasma proteins, Predicted intracellular proteins	True
ENSG00000160932	LY6E	Q16553	58.5	204.1	38.2	144.5	Lymphocyte antigen 6 family member E	Predicted intracellular proteins, Predicted membrane proteins	True
ENSG00000115756	HPCAL1	P37235	58.3	214.4	26.2	47.8	Hippocalcin like 1	Plasma proteins, Predicted intracellular proteins	True
ENSG00000086065	CHMP5	Q9NZZ3	58.2	56.3	34.7	46.8	Charged multivesicular body protein 5	Plasma proteins, Predicted intracellular proteins	True
ENSG00000144566	RAB5A	P20339	58.2	45.5	27.8	34.0	RAB5A, member RAS oncogene family	Enzymes, Predicted intracellular proteins, RAS pathway related proteins	True
ENSG00000211445	GPX3	P22352	58.0	74.5	820.0	2295.6	Glutathione peroxidase 3	Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	True
ENSG00000197601	FAR1	Q8WVX9	57.9	22.8	14.2	17.5	Fatty acyl-CoA reductase 1	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	True
ENSG00000161547	SRSF2	Q01130	57.8	51.7	86.9	78.9	Serine and arginine rich splicing factor 2	Cancer-related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins	True
ENSG00000067064	IDI1	Q13907	57.8	59.6	78.7	21.3	Isopentenyl-diphosphate delta isomerase 1	Enzymes, Metabolic proteins, Predicted intracellular proteins	True
ENSG00000134108	ARL8B	Q9NVJ2	57.8	75.1	98.5	51.7	ADP ribosylation factor like GTPase 8B	Enzymes, Predicted intracellular proteins	True
ENSG00000175701	MTLN	Q8NCU8	57.8	84.6	736.2	232.8	Mitoregulin	Predicted membrane proteins	True
ENSG00000103502	CDIPT	O14735	57.8	80.8	47.0	99.4	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	Enzymes, Metabolic proteins, Predicted membrane proteins	True
ENSG00000185608	MRPL40	Q9NQ50	57.7	51.0	165.1	99.9	Mitochondrial ribosomal protein L40	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000100941	PNN	Q9H307	57.7	38.8	61.9	55.5	Pinin, desmosome associated protein	Essential proteins, Predicted intracellular proteins, Transporters	True
ENSG00000124299	PEPD	P12955	57.7	33.3	34.2	23.4	Peptidase D	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins	True
ENSG00000168488	ATXN2L	Q8WWM7	57.7	77.5	61.7	67.4	Ataxin 2 like	Plasma proteins, Predicted intracellular proteins	True
ENSG00000213366	GSTM2	P28161	57.6	95.9	211.4	95.3	Glutathione S-transferase mu 2	Enzymes, Metabolic proteins, Predicted intracellular proteins	True
ENSG00000100075	SLC25A1	P53007	57.5	31.2	17.7	27.5	Solute carrier family 25 member 1	Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Transporters	True
ENSG00000100353	EIF3D	O15371	57.2	42.0	153.4	89.0	Eukaryotic translation initiation factor 3 subunit D	Disease related genes, Essential proteins, Plasma proteins, Predicted intracellular proteins	True
ENSG00000060971	ACAA1	P09110	57.0	44.9	47.0	79.2	Acetyl-CoA acyltransferase 1	Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	True
ENSG00000216490	IFI30	P13284	57.0	32.2	11.8	36.8	IFI30 lysosomal thiol reductase	Predicted intracellular proteins, Predicted membrane proteins	True
ENSG00000171055	FEZ2	Q9UHY8	57.0	48.0	100.3	43.7	Fasciculation and elongation protein zeta 2	Plasma proteins, Predicted intracellular proteins	True
ENSG00000169908	TM4SF1	P30408	56.9	32.6	47.8	206.1	Transmembrane 4 L six family member 1	Predicted membrane proteins, Transporters	True
ENSG00000196776	CD47	Q08722	56.9	64.5	52.9	55.7	CD47 molecule	CD markers, Predicted intracellular proteins, Predicted membrane proteins, Transporters	True
ENSG00000030582	GRN	P28799	56.9	32.0	59.7	148.5	Granulin precursor	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	True
ENSG00000127324	TSPAN8	P19075	56.8	2.2	67.4	5.6	Tetraspanin 8	Cancer-related genes, Predicted membrane proteins	True
ENSG00000131871	SELENOS	Q9BQE4	56.8	26.6	68.4	62.5	Selenoprotein S	Predicted membrane proteins	True
ENSG00000197448	GSTK1	Q9Y2Q3	56.8	53.7	223.6	254.4	Glutathione S-transferase kappa 1	Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	True
ENSG00000101367	MAPRE1	Q15691	56.7	44.4	33.1	54.5	Microtubule associated protein RP/EB family member 1	Plasma proteins, Predicted intracellular proteins	True
ENSG00000088387	DOCK9	Q9BZ29	56.7	39.1	18.2	44.0	Dedicator of cytokinesis 9	Plasma proteins, Predicted intracellular proteins	True
ENSG00000170113	NIPA1	Q7RTP0	56.5	20.9	2.3	3.3	NIPA magnesium transporter 1	Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	True
ENSG00000114416	FXR1	P51114	56.4	29.8	741.3	112.3	FMR1 autosomal homolog 1	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins	True
ENSG00000147416	ATP6V1B2	P21281	56.4	199.8	63.5	35.7	ATPase H+ transporting V1 subunit B2	Disease related genes, Essential proteins, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, Transporters	True
ENSG00000213639	PPP1CB	P62140	56.3	90.3	376.9	199.9	Protein phosphatase 1 catalytic subunit beta	Disease related genes, Enzymes, Essential proteins, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	True
ENSG00000004455	AK2	P54819	56.3	25.6	144.9	101.6	Adenylate kinase 2	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins	True
ENSG00000137210	TMEM14B	Q9NUH8	56.3	62.5	137.3	124.4	Transmembrane protein 14B	Predicted membrane proteins, Transporters	True
ENSG00000168675	LDLRAD4	O15165	56.3	16.9	12.5	19.7	Low density lipoprotein receptor class A domain containing 4	Predicted intracellular proteins, Predicted membrane proteins	True
ENSG00000162704	ARPC5	O15511	56.3	53.1	17.5	33.5	Actin related protein 2/3 complex subunit 5	Plasma proteins, Predicted intracellular proteins	True
ENSG00000198585	NUDT16	Q96DE0	56.2	26.7	23.1	30.9	Nudix hydrolase 16	Enzymes, Predicted intracellular proteins	True
ENSG00000129084	PSMA1	P25786	56.2	74.4	218.6	131.5	Proteasome 20S subunit alpha 1	Enzymes, Essential proteins, Predicted intracellular proteins	True
ENSG00000136888	ATP6V1G1	O75348	56.2	69.6	113.9	85.6	ATPase H+ transporting V1 subunit G1	Essential proteins, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Transporters	True
ENSG00000150656	CNDP1	Q96KN2	56.2	20.0	1.2	0.0	Carnosine dipeptidase 1	Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	True
ENSG00000116675	DNAJC6	O75061	56.1	90.0	0.4	8.3	DnaJ heat shock protein family (Hsp40) member C6	Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins	True
