Gene	gene_name	uniprot_primary	sc_ntpm	cortex_ntpm	skm_ntpm	heart_ntpm	description	protein_class
ENSG00000204624	DISP3	Q9P2K9	1.5	6.6	0.0	0.1	Dispatched RND transporter family member 3	Predicted intracellular proteins, Predicted membrane proteins
ENSG00000136122	BORA	Q6PGQ7	1.5	0.9	1.0	0.9	BORA aurora kinase A activator	Essential proteins, Predicted intracellular proteins
ENSG00000158691	ZSCAN12	O43309	1.5	2.9	0.8	2.5	Zinc finger and SCAN domain containing 12	Predicted intracellular proteins, Transcription factors
ENSG00000035499	DEPDC1B	Q8WUY9	1.5	0.8	0.0	0.1	DEP domain containing 1B	Predicted intracellular proteins
ENSG00000086619	ERO1B	Q86YB8	1.5	3.4	2.1	3.7	Endoplasmic reticulum oxidoreductase 1 beta	Predicted intracellular proteins
ENSG00000176842	IRX5	P78411	1.5	0.0	1.4	9.4	Iroquois homeobox 5	Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors
ENSG00000267795	SMIM22	K7EJ46	1.5	1.3	0.1	0.3	Small integral membrane protein 22	Predicted membrane proteins
ENSG00000169220	RGS14	O43566	1.5	18.0	2.4	1.4	Regulator of G protein signaling 14	Predicted intracellular proteins
ENSG00000224940	PRRT4	C9JH25	1.5	4.1	4.2	1.4	Proline rich transmembrane protein 4	Predicted intracellular proteins, Predicted membrane proteins
ENSG00000127083	OMD	Q99983	1.5	1.4	1.0	16.0	Osteomodulin	Predicted secreted proteins
ENSG00000073146	MOV10L1	Q9BXT6	1.5	1.6	0.0	0.7	Mov10 like RISC complex RNA helicase 1	Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins
ENSG00000149150	SLC43A1	O75387	1.5	2.9	16.3	8.2	Solute carrier family 43 member 1	Metabolic proteins, Predicted membrane proteins, Transporters
ENSG00000128606	LRRC17	Q8N6Y2	1.5	3.5	2.0	12.4	Leucine rich repeat containing 17	Predicted secreted proteins
ENSG00000198523	PLN	P26678	1.5	1.6	474.8	1463.0	Phospholamban	Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters
ENSG00000175463	TBC1D10C	Q8IV04	1.5	0.3	0.9	1.0	TBC1 domain family member 10C	Predicted intracellular proteins, Predicted membrane proteins
ENSG00000198589	LRBA	P50851	1.5	3.7	9.2	9.5	LPS responsive beige-like anchor protein	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins
ENSG00000170264	FAM161A	Q3B820	1.5	1.9	1.1	1.4	FAM161 centrosomal protein A	Disease related genes, Human disease related genes, Predicted intracellular proteins
ENSG00000189298	ZKSCAN3	Q9BRR0	1.5	2.1	2.3	2.3	Zinc finger with KRAB and SCAN domains 3	Predicted intracellular proteins, Transcription factors
ENSG00000253159	PCDHGA12	O60330	1.5	4.4	1.2	3.9	Protocadherin gamma subfamily A, 12	Plasma proteins, Predicted membrane proteins
ENSG00000135537	AFG1L	Q8WV93	1.5	2.7	3.4	4.1	AFG1 like ATPase	Predicted intracellular proteins
