geneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ABCB10,835.0811829938085,-0.4653315777623564,0.11007991391286444,-4.227216039891685,2.3660047658194513e-05,0.00019724789365411355
ABCB10P1,3.0405681004523966,-1.5053215212160713,1.229780943428426,-1.2240566332240308,0.220930864075076,
ABCB10P3,5.4301025404570655,0.8450588433766606,1.2066278707959752,0.7003475253884209,0.4837102985079017,0.6375078558068032
ABCB10P4,2.3281993307957802,-2.122029515845073,1.71375249854417,-1.2382356948554318,0.21562867975131905,
ABCB11,0.0,,,,,
ABCB4,293.1397627750494,-0.3846732135281038,0.11268799397746002,-3.4136131095300764,0.0006410754150832582,0.0034360998558055278
ABCB5,0.0,,,,,
ABCB6,1076.4672200929338,-0.33231578828197234,0.1215139187413572,-2.7347960770593502,0.006241893207183827,0.023235859055417227
ABCB7,708.5557338102011,-0.13230864026817565,0.07524156933712169,-1.7584513645025606,0.07867073999756267,0.1720022501776994
ABCB8,1120.1092733398336,-0.09276046439633204,0.07873743315132352,-1.1780986588432214,0.23875727666914326,0.3920457368126795
ABCB9,108.195890289717,0.3348924599574869,0.1471894217743887,2.2752481524848207,0.02289104775985448,0.06637431286369769
ABCC1,1801.980190120597,0.25222827095028943,0.09033743413430002,2.7920681317482914,0.005237232732087509,0.020081348940408267
ABCC10,428.22893870984404,0.03011553178417471,0.15648912442915586,0.19244488646754682,0.8473937351173935,0.9110189302835493
ABCC11,3.5261580996060715,0.000877210940356055,0.7816466180891131,0.0011222602644921145,0.999104566049721,
ABCC12,0.0,,,,,
ABCC13,0.0,,,,,
ABCC2,15.001356800736772,0.32452098725775885,0.42624164480321985,0.7613544833414349,0.4464453663122453,0.6045806046730438
ABCC3,139.04390886950532,0.3527812621787341,0.3558680193393298,0.9913261181313053,0.321526363558842,0.4839256964454387
ABCC4,776.1485016973024,-0.3481344781923316,0.06441851315778449,-5.404261308230182,6.50760172955545e-08,9.75112743370756e-07
ABCC5,2099.1706506865107,0.5323173533279287,0.06246090339807492,8.522408808841133,1.5626867986214888e-17,8.957656340285998e-16
ABCC5-AS1,0.0,,,,,
ABCC6,24.51299223980071,-0.22036078531030082,0.2835745475091405,-0.7770823836127179,0.4371101666780354,0.5967166840241509
