geneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ABCA6,3.916508660895669,-0.4636242035525983,1.0353559577721991,-0.44779208548738153,0.654303255856211,
ABCA7,149.10231044981836,0.06778897538271329,0.2474314773364431,0.2739707013531578,0.7841071374285499,0.9167230815642812
ABCA8,75.6752264021148,-0.5051490028565203,0.3267147251952736,-1.54614703256671,0.1220690621976329,0.4239989338771323
ABCA9,9.219302226512125,0.24942049713533118,0.6033725140530554,0.41337729400348405,0.6793302076967793,
ABCA9-AS1,0.0,,,,,
ABCB1,124.1337917650631,-0.13385542935733297,0.20137474221339569,-0.6647081351219664,0.5062371895423641,0.7678949313107912
ABCB10,448.7359876658088,-0.21117602829682502,0.1764917013794247,-1.1965210071992871,0.23149330578447347,0.5605540351164375
ABCB10P1,0.6861790067840979,2.7652082580254898,3.0857107075432384,0.8961333449910719,0.3701815498596984,
ABCB10P3,0.9987091705880763,-1.6143840910339715,2.1806900255929276,-0.7403088343998006,0.4591126216495037,
ABCB10P4,0.0,,,,,
ABCB11,0.38803813350184446,-0.974214639558097,3.3292322977876316,-0.29262441080049895,0.769809252999281,
ABCB4,46.01950322830566,0.2280592103434125,0.3611678538892174,0.631449360422221,0.5277467501819917,0.7813061187297583
ABCB5,0.0,,,,,
ABCB6,218.30894980298012,-0.0906954956917789,0.2084720053336186,-0.4350487997016123,0.6635270062656512,0.8586802629819514
ABCB7,319.89671983009714,-0.12182275097944868,0.18306135063090398,-0.665474992725651,0.505746733150285,0.7676917050802083
ABCB8,284.3034304463281,0.30240599557999287,0.19313908391601003,1.5657421038172652,0.11740900511164193,0.4181315668134872
ABCB9,130.23520439304622,0.2743128544780874,0.17431902966368729,1.5736254097290332,0.11557407528761958,0.4155870835686231
ABCC1,577.7428392463542,-0.006027706092222806,0.15210448216052325,-0.039628721038354894,0.9683891293413439,0.9877863015830826
ABCC10,279.67215416882266,0.13228994150377435,0.2045563158413633,0.6467164846983622,0.517815452151974,0.7753056526968153
ABCC11,2.4799056184895636,1.412749983129166,1.2450397999964986,1.1347026682465404,0.2564999189751277,
ABCC12,0.0,,,,,
ABCC13,0.23077263221920316,-1.6265637589997304,4.020316913903297,-0.4045859552451329,0.6857818839796106,
ABCC2,13.81533912762475,0.30465437365839,0.48410192372054744,0.6293186594198594,0.5291404578291117,
ABCC3,0.6816646224651202,1.5197388220075612,2.9092703604015644,0.5223779964533075,0.6014071730666288,
ABCC4,292.0420881172078,-0.029468285401703254,0.19326933942843832,-0.15247263476374873,0.8788141723601371,0.9550382130150904
ABCC5,1488.7431660160562,0.07450719823964594,0.13260451062455922,0.5618752928442746,0.5742009884018022,0.8095174169540508
ABCC5-AS1,0.0,,,,,
ABCC6,9.135351632373352,-0.6180495123165225,0.6070686064011203,-1.0180884101065617,0.30863594270533823,
ABCC6P1,1.9122418379519128,-2.8942358501549297,1.5042269280348033,-1.9240686336709203,0.05434598109702249,
