,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MTMR10,812.3209846460117,0.3427810545585007,0.2110665059988614,1.624042871872574,0.10436665902620061,0.3033626430558749
TRPM1,10.321729187138796,0.404247154808237,0.664309749980473,0.6085220859999715,0.5428412622716295,0.7484570910183308
LOC283710,9.925880148337377,-0.5480017010308692,0.5354771705347965,-1.0233894761256845,0.3061237332238441,0.5556218956675449
KLF13,2348.5985844209667,0.26208947431584784,0.1908513165926355,1.3732652150116804,0.16966991229095252,0.3988508311049989
OTUD7A,300.824944962404,-0.3666120601868227,0.17067039462976197,-2.1480706187040823,0.03170814588117647,0.15340982815937818
CHRNA7,608.4533944958358,0.18805085547578188,0.6125057608004912,0.30701891722620844,0.7588289732863116,0.8837426710100482
GOLGA8O,34.626433303518006,-0.8613313729022137,0.4400257848337885,-1.9574565913849016,0.050293810588569146,0.19824525759519562
WHAMMP1,297.98644970246346,0.11418854194591357,0.16848151986380905,0.6777511387493248,0.4979294960736802,0.7164611240456074
LOC100996255,83.46446015831664,0.2567826950921242,0.4348891228017067,0.5904555474688374,0.5548852795078426,0.7565444328850057
ARHGAP11A,584.8593306109511,1.1635214479568654,0.3478906099760024,3.344503745120127,0.0008242991675833679,0.017719684439150465
SCG5,532.3813689129285,-1.5558871900203524,0.3794501489173177,-4.10037311741675,4.124845459227564e-05,0.0029888908277032095
GREM1,65.4888272632451,1.2274335189621532,0.6898584503377226,1.779254162011437,0.07519810227254889,0.25036270239339165
FMN1,295.80497798655983,0.995127753562228,0.5204933055385279,1.9118934729287633,0.055889859050489,0.21061571933186807
RYR3,2050.954273587106,-0.6176000824593633,0.3843709983820527,-1.6067811699088914,0.10810238032783874,0.3099820794736392
AVEN,225.67660091831962,0.05446439920586018,0.17681213197207943,0.3080354192802828,0.758055381147265,0.8833402071346224
CHRM5,29.76848494594547,-0.8273747499888423,0.35557321684798593,-2.3268759028680166,0.019971871082547797,0.11787546974803302
EMC7,603.4152178353363,0.05964012381010641,0.2014025812020144,0.29612392976376556,0.7671354397809194,0.888728703798889
PGBD4,132.85426850766774,-0.5544336700473866,0.23162586774691804,-2.3936604121141554,0.016681185215424048,0.10581340667633084
KATNBL1,866.3292591149967,-0.25459595512185235,0.14633388620667223,-1.7398291108204287,0.08188902921608154,0.26283178407869867
EMC4,867.4145256856388,0.14781433976986766,0.1486661019241448,0.9942706363908582,0.320091127182482,0.5690789558857974
SLC12A6,1549.523184749196,-0.17393315491683461,0.1464687877578232,-1.187510032543056,0.23502650167312455,0.4801232222894938
NOP10,409.31846602141644,0.15617428400911212,0.1953997903175214,0.79925512589001,0.42414249321285746,0.6619800884505913
NUTM1,19.034635225058107,-0.0654097174036828,0.7598636388099977,-0.08608086249016891,0.9314021366687955,0.968507799671343
LPCAT4,1098.1060174781335,0.10144777600133185,0.2844216708862839,0.3566808945507258,0.7213307099508678,0.8615004380804239
GOLGA8A,2639.808446509904,-0.38475742276221375,0.2923008296357382,-1.3163062973228432,0.18807125808646974,0.4233901128925914
GOLGA8B,1536.1181240537999,-0.5030411587801682,0.2616429082633197,-1.9226248558355852,0.05452718011707409,0.20753788495355596
GJD2,25.14989213443238,-1.2178519265991994,0.3425374134213313,-3.5553836716259806,0.00037742791213854005,0.011131246670951729
ACTC1,588.3871106476914,0.7901330395256436,1.2616821417279538,0.6262536445538543,0.5311485861477729,0.7405153632774348
AQR,2501.4567780884504,0.012288547733534076,0.07133695607343175,0.17226061230990397,0.8632326482439923,0.9368239609143557
ZNF770,3600.4413516654354,0.11086049133712658,0.09218631124440728,1.202569989412091,0.22914276683077817,0.4732306906356816
ANP32AP1,16.413064499610005,0.032581995879013254,0.4567267284781774,0.07133805369258138,0.9431287098970658,0.9737291824739063
DPH6,247.68840160920726,-0.4043846907630858,0.22618985377284143,-1.7878109208612087,0.07380651834139029,0.24769032269746366
DPH6-AS1,38.881216008263756,0.16764246386402976,0.3188888460212728,0.5257081455048649,0.5990910034236996,0.7861271812573842
C15orf41,527.609827342629,-0.05950871133544086,0.1366702642083966,-0.43541813341855556,0.6632589504637638,0.8269685451197034
CSNK1A1P1,89.72964852436252,-0.8483782676354341,0.3799188515941929,-2.233051253117658,0.025545564681563656,0.13664087362295052
LOC145845,298.56760438475055,-0.6873096273609792,0.36959240769854657,-1.859642170792574,0.0629361687693753,0.22653508040578677
MEIS2,6045.119194383701,-0.335917800085988,0.3110272526811489,-1.080026901791644,0.2801302007955,0.5285447831530918
MIR8063,43.98740705047631,-1.417814304882363,0.6453755930571832,-2.1968824358015944,0.02802884357197387,0.14333554201697263
SPRED1,3458.897554923104,-0.30099014808881774,0.12344500905658065,-2.438252873802778,0.0147584459006766,0.09818832628624145
FAM98B,1250.717756505215,0.12173713774615072,0.12959224118117543,0.9393860051849637,0.3475325956507037,0.5947030893378883
RASGRP1,452.0309042645557,-0.1484407718835085,0.19458457329296455,-0.7628599193216493,0.4455469417548037,0.678099172603067
